Beach,Location,Feature,Gear_Number,Accuracy,x,y
Bribie Island,Woorim (Bribie Island),Drum Line,"63",,153.2103667000,-27.0610666700
Bribie Island,Woorim (Bribie Island),Drum Line,"64",,153.2105333000,-27.0620166700
Bribie Island,Woorim (Bribie Island),Drum Line,"65",,153.2106833000,-27.0629000000
Bribie Island,Woorim (Bribie Island),Drum Line,"66",,153.2107833000,-27.0639833300
Bribie Island,Woorim (Bribie Island),Drum Line,"67",,153.2112333000,-27.0645833300
Bribie Island,Woorim (Bribie Island),Drum Line,"68",,153.2109333000,-27.0653666700
Bribie Island,Woorim (Bribie Island),Drum Line,"69",,153.2113167000,-27.0660500000
Bribie Island,Woorim (Bribie Island),Drum Line,"70",,153.2113167000,-27.0668000000
Bribie Island,Woorim (Bribie Island),Drum Line,"71",,153.2113167000,-27.0672500000
Bribie Island,Woorim (Bribie Island),Drum Line,"72",,153.2115167000,-27.0682500000
Bribie Island,Woorim (Bribie Island),Drum Line,"73",,153.2117500000,-27.0692000000
Bribie Island,Woorim (Bribie Island),Drum Line,"74",,153.2118000000,-27.0699833300
Bribie Island,Woorim (Bribie Island),Drum Line,"75",,153.2121833000,-27.0707166700
Bribie Island,Woorim (Bribie Island),Drum Line,"76",,153.2126000000,-27.0719333300
Bribie Island,Woorim (Bribie Island),Drum Line,"77",,153.2127333000,-27.0730166700
Bribie Island,Woorim (Bribie Island),Drum Line,"78",,153.2128667000,-27.0737500000
Sunshine Coast South & Bribie Island,Wurtulla,Drum Line,"80",Approximate Location,153.1420050062,-26.7474983743
Sunshine Coast South & Bribie Island,Wurtulla,Drum Line,"83",Approximate Location,153.1419773126,-26.7465906613
Sunshine Coast South & Bribie Island,Wurtulla,Drum Line,"84",Approximate Location,153.1417592835,-26.7456251039
Sunshine Coast South & Bribie Island,Wurtulla,Net,"0",Approximate Location,153.1420500000,-26.7470916700
Sunshine Coast South & Bribie Island,Wurtulla,Net,"1",Approximate Location,153.1420500000,-26.7470916700
Sunshine Coast South & Bribie Island,Wurtulla,Net,"10",,153.1420500000,-26.7470916700
Sunshine Coast North,Yaroomba Beach,Drum Line,"19",,153.1047667000,-26.5536000000
Sunshine Coast North,Yaroomba Beach,Drum Line,"20",,153.1049500000,-26.5545833300
Sunshine Coast North,Yaroomba Beach,Drum Line,"21",,153.1047833000,-26.5553500000
Sunshine Coast North,Yaroomba Beach,Drum Line,"22",,153.1046833000,-26.5560333300
Capricorn Coast,Yeppoon,Drum Line,"0",Approximate Location,150.7534900000,-23.1280700000
Capricorn Coast,Yeppoon,Drum Line,"3",Approximate Location,150.7535100000,-23.1280000000
Capricorn Coast,Yeppoon,Drum Line,"6",,150.7548333000,-23.1264000000
Capricorn Coast,Yeppoon,Drum Line,"7",,150.7546500000,-23.1273166700
Capricorn Coast,Yeppoon,Drum Line,"8",,150.7545000000,-23.1282500000
Capricorn Coast,Yeppoon,Drum Line,"9",,150.7545000000,-23.1290833300
Capricorn Coast,Yeppoon,Drum Line,"10",,150.7546500000,-23.1300833300
Cairns,Yorkeys Knob,Drum Line,"29",,145.7301667000,-16.8041666700
Cairns,Yorkeys Knob,Drum Line,"30",,145.7302833000,-16.8050833300
Cairns,Yorkeys Knob,Drum Line,"31",,145.7306000000,-16.8054833300
Cairns,Yorkeys Knob,Drum Line,"32",,145.7310167000,-16.8061833300
Cairns,Yorkeys Knob,Drum Line,"33",,145.7315833000,-16.8070000000
Sunshine Coast South & Bribie Island,Alexandra Headland,Drum Line,"7",Approximate Location,153.1125374226,-26.6671368096
Sunshine Coast South & Bribie Island,Alexandra Headland,Net,"0",Approximate Location,153.1126629371,-26.6658722921
Bundaberg,Bargara Beach,Drum Line,"0",Approximate Location,152.4665814776,-24.8057561246
Bundaberg,Bargara Beach,Drum Line,"4",Approximate Location,152.4677812203,-24.8084983938
Bundaberg,Bargara Beach,Drum Line,"8",Approximate Location,152.4680097428,-24.8097552672
Bundaberg,Bargara Beach,Drum Line,"12",Approximate Location,152.4640677308,-24.8055847328
Bundaberg,Bargara Beach,Net,"1",Approximate Location,152.4684907150,-24.8114844185
Gold Coast,Bilinga Beach,Net,"0",Approximate Location,153.5105073021,-28.1510333829
Gold Coast,Bilinga Beach,Net,"1",Approximate Location,153.5097646042,-28.1505763380
Sunshine Coast South & Bribie Island,Bribie Island,Drum Line,"62",Approximate Location,153.1231999143,-27.0362854387
Sunshine Coast South & Bribie Island,Bribie Island,Drum Line,"63",Approximate Location,153.1223715204,-27.0354998928
Sunshine Coast South & Bribie Island,Bribie Island,Drum Line,"68",Approximate Location,153.1259187368,-27.0427720135
Sunshine Coast South & Bribie Island,Bribie Island,Drum Line,"73",Approximate Location,153.1229999571,-27.0358998071
Gold Coast,Broadbeach,Drum Line,"0",Approximate Location,153.4414259979,-28.0238467767
Mackay,Bucasia Beach,Drum Line,"8",Approximate Location,149.1636542631,-21.0187637039
Mackay,Bucasia Beach,Drum Line,"9",Approximate Location,149.1651255692,-21.0212040788
Mackay,Bucasia Beach,Drum Line,"10",Approximate Location,149.1639970468,-21.0199063161
Mackay,Bucasia Beach,Net,"0",Approximate Location,149.1655755692,-21.0221756421
Mackay,Bucasia Beach,Net,"1",Approximate Location,149.1628333000,-21.0158912752
Mackay,Bucasia Beach,Net,"2",Approximate Location,149.1662611365,-21.0235467767
Mackay,Bucasia Beach,Net,"4",Approximate Location,149.1634046061,-21.0170338873
Sunshine Coast South & Bribie Island,Buddina Beach,Drum Line,"0",Approximate Location,153.1399024388,-26.7046850957
Sunshine Coast South & Bribie Island,Buddina Beach,Drum Line,"41",Approximate Location,153.1403594836,-26.7024570020
Gold Coast,Burleigh Beach,Net,"0",Approximate Location,153.4589811327,-28.0806062313
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"0",Approximate Location,153.1477829570,-26.8082426550
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"11",Approximate Location,153.1414985901,-26.8108420977
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"37",Approximate Location,153.1422412880,-26.8098994427
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"51",Approximate Location,153.1422984186,-26.8104421835
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"54",Approximate Location,153.1412700677,-26.8101850957
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"55",Approximate Location,153.1431553778,-26.8099280080
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"56",Approximate Location,153.1468688673,-26.8082997856
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"57",Approximate Location,153.1436695532,-26.8092424407
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"58",Approximate Location,153.1458976470,-26.8085283081
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"59",Approximate Location,153.1450978184,-26.8088425264
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"60",Approximate Location,153.1442979899,-26.8089853529
Sunshine Coast South & Bribie Island,Caloundra Beach,Drum Line,"61",Approximate Location,153.1448692960,-26.8095852243
Sunshine Coast South & Bribie Island,Caloundra Beach,Net,"0",Approximate Location,153.1441265981,-26.8097851815
Sunshine Coast North,Castaways Beach,Drum Line,"0",Approximate Location,153.1129515466,-26.4329430861
Sunshine Coast North,Castaways Beach,Drum Line,"10",Approximate Location,153.1135321912,-26.4298551126
Sunshine Coast North,Castaways Beach,Drum Line,"11",Approximate Location,153.1134266194,-26.4308316512
Sunshine Coast North,Castaways Beach,Drum Line,"12",Approximate Location,153.1132682618,-26.4315442605
Cairns,Clifton Beach,Net,"3",Approximate Location,145.6799579358,-16.7599152947
Gold Coast,Coolangatta Beach,Drum Line,"0",Approximate Location,153.5418938541,-28.1599767870
Gold Coast,Coolangatta Beach,Net,"0",Approximate Location,153.5406995737,-28.1600328720
Sunshine Coast North,Coolum Beach,Drum Line,"3",Approximate Location,153.0983583424,-26.5294067461
Sunshine Coast North,Coolum Beach,Net,"0",Approximate Location,153.0981999848,-26.5283246358
Sunshine Coast South & Bribie Island,Currimundi Beach,Drum Line,"0",Approximate Location,153.1414001457,-26.7682435905
Gold Coast,Currumbin Beach,Net,"0",Approximate Location,153.4936860554,-28.1275734161
Nth Stradbroke Is.,Cylinder Beach,Drum Line,"0",Approximate Location,153.5092392097,-27.3876841788
Nth Stradbroke Is.,Cylinder Beach,Drum Line,"4",Approximate Location,153.5129713358,-27.3902438812
Nth Stradbroke Is.,Cylinder Beach,Drum Line,"5",Approximate Location,153.5074816051,-27.3897160225
Nth Stradbroke Is.,Cylinder Beach,Drum Line,"6",Approximate Location,153.5009361570,-27.3883435898
Nth Stradbroke Is.,Cylinder Beach,Drum Line,"7",Approximate Location,153.5034698789,-27.3878157311
Nth Stradbroke Is.,Cylinder Beach,Drum Line,"8",Approximate Location,153.5205725014,-27.3876045876
Nth Stradbroke Is.,Cylinder Beach,Net,"5",Approximate Location,153.5062147442,-27.3872878724
Mackay,Eimeo Beach,Drum Line,"1",Approximate Location,149.1795250728,-21.0301986347
Cairns,Ellis Beach,Net,"2",Approximate Location,145.6489445587,-16.7213912461
Mackay,Harbour Beach,Drum Line,"0",Approximate Location,149.2270844744,-21.1208839128
Mackay,Harbour Beach,Net,"0",Approximate Location,149.2273220108,-21.1195510695
Townsville,Horseshoe Bay,Drum Line,"0",Approximate Location,146.8593180353,-19.1070479923
Sunshine Coast North,Hyatt Resort,Drum Line,"0",Approximate Location,153.1047403071,-26.5580105111
Gold Coast,Kirra Beach,Net,"0",Approximate Location,153.5332649581,-28.1591994580
Capricorn Coast,Lammermoor Beach,Drum Line,"17",Approximate Location,150.7696457483,-23.1525291214
Gold Coast,Main Beach,Net,"0",Approximate Location,153.4359000000,-27.9742214636
Sunshine Coast North,Marcoola Beach,Drum Line,"4",Approximate Location,153.1024930929,-26.5837827152
Sunshine Coast North,Marcoola Beach,Net,"0",Approximate Location,153.1024930929,-26.5826346225
Sunshine Coast North,Marcus Beach,Drum Line,"0",Approximate Location,153.1064425817,-26.4576543157
Sunshine Coast North,Marcus Beach,Drum Line,"13",Approximate Location,153.1064122980,-26.4586991021
Sunshine Coast North,Marcus Beach,Drum Line,"14",Approximate Location,153.1065334327,-26.4571546352
Sunshine Coast North,Marcus Beach,Drum Line,"15",Approximate Location,153.1064880072,-26.4580669306
Sunshine Coast North,Maroochydore,Net,"0",Approximate Location,153.1122861366,-26.6617850381
Gold Coast,Mermaid Beach,Net,"0",Approximate Location,153.4456473733,-28.0415271976
Sunshine Coast South & Bribie Island,Moffat Beach,Drum Line,"0",Approximate Location,153.1520967040,-26.7877326909
Sunshine Coast South & Bribie Island,Mooloolaba Beach,Net,"0",Approximate Location,153.1236376247,-26.6781290750
Sunshine Coast North,Mudjimba Beach,Drum Line,"0",Approximate Location,153.1059780466,-26.6144541855
Gold Coast,Narrow Neck,Drum Line,"12",Approximate Location,153.4379674792,-28.0000068731
Townsville,Nelly Bay,Drum Line,"0",Approximate Location,146.8507320219,-19.1733249994
Townsville,Nelly Bay,Drum Line,"14",Approximate Location,146.8501263486,-19.1746120552
Sunshine Coast North,Noosa,Drum Line,"0",Approximate Location,153.0972578313,-26.3782462142
Sunshine Coast North,Noosa,Net,"0",Approximate Location,153.1003467651,-26.3775345481
Sunshine Coast North,Noosa,Net,"3",Approximate Location,153.0989234329,-26.3778373847
Gold Coast,North Burleigh Beach,Drum Line,"0",Approximate Location,153.4529597881,-28.0685452550
Nth Stradbroke Is.,Ocean Beach,Drum Line,"0",Approximate Location,153.5500773753,-27.4387978024
Cairns,Palm Cove,Drum Line,"0",Approximate Location,145.6763263486,-16.7448590795
Cairns,Palm Cove,Net,"0",Approximate Location,145.6759629446,-16.7435568819
Cairns,Palm Cove,Net,"2",Approximate Location,145.6754784060,-16.7418307130
Sunshine Coast North,Peregian Beach,Drum Line,"0",Approximate Location,153.1044935079,-26.4778824106
Townsville,Picnic Bay,Drum Line,"3",Approximate Location,146.8403820219,-19.1830225530
Sunshine Coast South & Bribie Island,Point Cartwright,Drum Line,"0",Approximate Location,153.1419744307,-26.6843334702
Townsville,Radical Bay,Drum Line,"0",Approximate Location,146.8745869514,-19.1071457450
Rainbow Beach,Rainbow Beach,Drum Line,"4",,153.1015881322,-25.9010568731
Rainbow Beach,Rainbow Beach,Net,"0",Approximate Location,153.1029206135,-25.9001180795
Rainbow Beach,Rainbow Beach,Net,"5",Approximate Location,153.1035262868,-25.9023893543
Gold Coast,Sheraton Mirage,Drum Line,"0",Approximate Location,153.4365146426,-27.9625217737
Sunshine Coast North,Sunrise Beach,Drum Line,"0",Approximate Location,153.1166406713,-26.4160409205
Sunshine Coast North,Sunrise Beach,Drum Line,"5",Approximate Location,153.1168829406,-26.4149809923
Sunshine Coast North,Sunshine Beach,Drum Line,"0",Approximate Location,153.1176230619,-26.4060533026
Sunshine Coast North,Surfair Resort,Drum Line,"0",Approximate Location,153.1029634040,-26.6028473035
Gold Coast,Surfers Paradise Beach,Net,"0",Approximate Location,153.4385234020,-28.0025676589
Gold Coast,Tallebudgera Beach,Net,"0",Approximate Location,153.4707621653,-28.0985690773
Gold Coast,Tallebudgera Beach,Net,"26",Approximate Location,153.4702776267,-28.0968429084
Townsville,The Strand,Drum Line,"0",Approximate Location,146.8038875938,-19.2324129834
Cairns,Trinity Beach,Drum Line,"0",Approximate Location,145.7032812031,-16.7789669504
Cairns,Trinity Beach,Net,"0",Approximate Location,145.7025543951,-16.7802085806
Cairns,Trinity Beach,Net,"4",Approximate Location,145.7026755298,-16.7780584404
Gold Coast,Tugun Beach,Drum Line,"0",Approximate Location,153.4989747901,-28.1370426987
Gold Coast,Tugun Beach,Net,"0",Approximate Location,153.5001861366,-28.1386477329
Sunshine Coast North,Twin Waters Resort,Drum Line,"0",Approximate Location,153.1056223733,-26.6327797848
Sunshine Coast South & Bribie Island,Wurtulla,Drum Line,"0",Approximate Location,153.1418682980,-26.7460923091
Sunshine Coast South & Bribie Island,Wurtulla,Drum Line,"81",Approximate Location,153.1419894327,-26.7481213146
Sunshine Coast North,Yaroomba Beach,Drum Line,"0",Approximate Location,153.1053284060,-26.5564704956
Sunshine Coast North,Yaroomba Beach,Net,"0",Approximate Location,153.1056918099,-26.5546837594
Sunshine Coast North,Yaroomba Beach,Net,"4",Approximate Location,153.1055101079,-26.5535329801
Cairns,Yorkeys Knob,Drum Line,"0",Approximate Location,145.7311404557,-16.8046249080
Cairns,Yorkeys Knob,Net,"0",Approximate Location,145.7288206259,-16.8027060364
Cairns,Yorkeys Knob,Net,"5",Approximate Location,145.7295100234,-16.8033362976
Cairns,Yorkeys Knob,Net,"29",Approximate Location,145.7281619088,-16.8021618788
