Name,Targeted
Tiger Shark,Targeted
Bull Whaler,Targeted
White Shark,Targeted
Australian Blacktip,Targeted
Common Blacktip Whaler,Targeted
Dusky Whaler,Targeted
Grey Reef Whaler,Targeted
