,,,,,,,,,,Month,,,,,,,,,,,,
SpeciesName,LengthCategory,SpeciesGroup,Gender,GearStatus,LengthRange,GearName,Beach,Area,Fate,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total
Aust Sharpnose Shark,< 2m,Shark,Female,Active,0-1m,Lammermoor Beach Drum 23,Lammermoor Beach,Capricorn Coast,Dead,,,,,,,,,,1,,,1
Aust Sharpnose Shark,< 2m,Shark,Female,Active,0-1m,Tanby Point Drum 38,Tanby Point,Capricorn Coast,Dead,,,,,,,,,1,,,,1
Aust Sharpnose Shark,< 2m,Shark,Female,Active,0-1m Total,,,,,,,,,,,,,1,1,,,2
Australian Blacktip,< 2m,Shark,Female,Active,0-1m,Bucasia Beach Drum 3,Bucasia Beach,Mackay,Dead,,,,,,,,,1,,,,1
Australian Blacktip,< 2m,Shark,Male,Active,1-2m,The Strand Drum 57,The Strand,Townsville,Dead,,,,,,1,,,,,,,1
Australian Blacktip,< 2m,Shark Total,,,,,,,,,,,,,1,,,1,,,,2
Blacktip Reef Whaler,< 2m,Shark,Female,Active,0-1m,Blacks Beach Drum 20,Blacks Beach,Mackay,Dead,,1,,,,,,,,,,,1
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m,Alma Bay Drum 17,Alma Bay,Townsville,Dead,,,,,,1,,,,,,,1
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m,Alma Bay Drum 19,Alma Bay,Townsville,Dead,,,,,,,,,,,,1,1
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m,Alma Bay Drum 20,Alma Bay,Townsville,Alive,,,,,,,,,,1,,,1
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m,Nelly Bay Drum 9,Nelly Bay,Townsville,Dead,,,,,,,,,,,1,,1
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m,Picnic Bay Drum 4,Picnic Bay,Townsville,Dead,,,,,,,,,,1,,,1
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m,Picnic Bay Drum 5,Picnic Bay,Townsville,Dead,,,,,,,,,,,,1,1
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m Total,,,,,,,,,,1,,,,2,1,2,6
